,state,county,county_state_name,above_US_median_income,graduate_attainment_pct,health_insurance_pct,below_poverty_lvl_pct,occupied_houses_pct,no_vehicles_hh_pct,pop_over_18_pct
1567,40,127,"Pushmataha County, Oklahoma",0,6.7,80.5,16.6,72.5,10.1,78.0
1568,40,133,"Seminole County, Oklahoma",0,4.7,79.1,19.9,79.9,6.9,75.2
1569,40,139,"Texas County, Oklahoma",0,7.7,83.1,16.8,81.7,3.9,70.8
1570,40,145,"Wagoner County, Oklahoma",0,7.4,87.8,7.1,90.3,2.6,75.8
1571,40,151,"Woods County, Oklahoma",0,9.6,90.1,6.1,71.2,5.1,77.8
1572,41,003,"Benton County, Oregon",1,24.0,94.7,7.9,93.1,6.8,83.8
1573,41,049,"Morrow County, Oregon",0,2.5,91.7,11.2,87.1,2.0,72.4
1574,41,053,"Polk County, Oregon",1,12.3,94.4,7.8,94.3,4.7,77.4
1575,41,059,"Umatilla County, Oregon",0,6.4,93.0,10.6,87.3,5.9,74.7
1576,41,065,"Wasco County, Oregon",0,7.8,91.6,6.6,88.2,6.3,77.6
1577,41,071,"Yamhill County, Oregon",1,9.6,94.0,8.4,95.0,4.9,77.9
1578,44,005,"Newport County, Rhode Island",1,19.8,96.5,5.0,81.0,7.3,83.3
1579,42,001,"Adams County, Pennsylvania",1,9.8,94.4,5.3,93.2,4.4,79.9
1580,42,007,"Beaver County, Pennsylvania",0,8.2,96.2,6.3,90.6,8.1,80.6
1581,42,013,"Blair County, Pennsylvania",0,7.1,94.9,9.8,90.7,8.2,79.7
1582,42,019,"Butler County, Pennsylvania",1,13.4,96.7,4.5,92.4,6.4,80.0
1583,42,025,"Carbon County, Pennsylvania",0,6.4,95.5,7.3,76.2,5.6,80.8
1584,42,031,"Clarion County, Pennsylvania",0,9.3,92.9,8.9,77.5,7.6,81.2
1585,42,037,"Columbia County, Pennsylvania",0,9.5,95.1,8.1,87.4,6.2,82.3
1586,42,043,"Dauphin County, Pennsylvania",0,11.7,94.5,8.4,91.1,9.3,77.5
1587,42,049,"Erie County, Pennsylvania",0,10.3,95.5,10.4,90.8,10.6,78.7
1588,42,055,"Franklin County, Pennsylvania",0,8.7,90.8,5.7,93.6,5.2,77.7
1589,42,061,"Huntingdon County, Pennsylvania",0,5.9,95.4,7.9,73.8,6.0,81.9
1590,42,067,"Juniata County, Pennsylvania",0,5.2,88.5,5.2,83.3,7.0,77.5
1591,42,073,"Lawrence County, Pennsylvania",0,6.9,94.7,9.2,90.3,8.0,80.1
1592,42,079,"Luzerne County, Pennsylvania",0,9.0,94.6,10.6,86.6,10.7,80.2
1593,42,087,"Mifflin County, Pennsylvania",0,4.7,87.7,9.3,87.1,9.4,77.7
1594,42,129,"Westmoreland County, Pennsylvania",0,11.0,96.8,6.0,90.0,7.2,81.7
1595,45,003,"Aiken County, South Carolina",0,10.3,90.3,10.3,88.0,5.9,78.3
1596,45,009,"Bamberg County, South Carolina",0,8.1,87.6,14.4,65.7,12.8,80.3
1597,45,015,"Berkeley County, South Carolina",1,8.6,89.5,9.0,92.3,4.0,76.2
1598,45,021,"Cherokee County, South Carolina",0,5.7,89.0,12.2,84.2,7.5,77.0
1599,45,027,"Clarendon County, South Carolina",0,5.7,89.7,15.6,71.3,10.4,80.8
1600,45,035,"Dorchester County, South Carolina",0,9.7,89.6,8.1,92.7,3.4,75.5
1601,45,041,"Florence County, South Carolina",0,9.0,90.2,13.1,86.2,7.8,76.3
1602,45,047,"Greenwood County, South Carolina",0,8.3,89.9,14.9,88.7,8.9,77.4
